name,type,city,district,phone,email,website,address
Batman Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Batman,,0488 213 91 47,batman@gsb.gov.tr,https://batman.gsb.gov.tr,Pınarbaşı Mahallesi 2203 Sokak No:31 PK 72060 Merkez/Batman
Bayburt Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bayburt,,0458 211 44 39,bayburt@gsb.gov.tr,https://bayburt.gsb.gov.tr,Genç Osman Mahallesi Oslu Baba Caddesi No:2 Merkez/Bayburt
Bilecik Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bilecik,,0228 212 57 63,bilecik@gsb.gov.tr,https://bilecik.gsb.gov.tr,Ertuğrulgazi Mahallesi Stadyum Sokak No:33/A Bilecik
Bingöl Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bingöl,,0426 213 11 14,bingol@gsb.gov.tr,https://bingol.gsb.gov.tr,"Karşıyaka Mahallesi Hüseyin Çelik Caddesi No:3 Düzağaç, Bingöl"
Bitlis Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bitlis,,0434 226 63 60,bitlis@gsb.gov.tr,https://bitlis.gsb.gov.tr,Beş Minare Mahallesi Ahmet Eren Bulvarı No:214 Merkez/Bitlis
Bolu Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bolu,,0374 270 36 38,bolu@gsb.gov.tr,https://bolu.gsb.gov.tr,"Karamanlı Mah. Konuralp Cad. No:11, Merkez/Bolu"
Burdur Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Burdur,,0248 233 71 41,burdur@gsb.gov.tr,https://burdur.gsb.gov.tr,"Bahçelievler Mah. Şeker Cad. B Blok No:7, Burdur"
Bursa Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bursa,,0224 368 79 81,bursa@gsb.gov.tr,https://bursa.gsb.gov.tr,"Alaşarköy Mah. İstanbul Cad. No:477/3, Osmangazi/Bursa"
Çanakkale Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Çanakkale,,0286 217 15 57,canakkale@gsb.gov.tr,https://canakkale.gsb.gov.tr,"İsmetpaşa Mah. Stadyum Cad. No:15, 17100 Çanakkale"
Çankırı Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Çankırı,,0376 213 15 15,cankiri@gsb.gov.tr,https://cankiri.gsb.gov.tr,"Cumhuriyet Mah. Alparslan Türkeş Cad. 46/A, Merkez/Çankırı"
Çorum Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Çorum,,0364 223 10 20,corum@gsb.gov.tr,https://corum.gsb.gov.tr,"Yavruturna Mah. Gazi Paşa Sok. No:66, Merkez/Çorum"
Denizli Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Denizli,,,denizli@gsb.gov.tr,https://denizli.gsb.gov.tr,
Diyarbakır Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Diyarbakır,,0412 262 12 19,diyarbakir@gsb.gov.tr,https://diyarbakir.gsb.gov.tr,"Fabrika, Elazığ Cad. 814 Sok., 21100 Yenişehir/Diyarbakır"
Düzce Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Düzce,,0380 523 08 16,duzce@gsb.gov.tr,https://duzce.gsb.gov.tr,"Kültür Mah. Kuyumcuzade Bulvarı No:27, 81010 Düzce"
Edirne Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Edirne,,0284 212 03 13,edirne@gsb.gov.tr,https://edirne.gsb.gov.tr,"Şükrüpaşa Mah. Talatpaşa Cad. Aliço Güreş Eğitim Merkezi No:88, Merkez/Edirne"
Elazığ Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Elazığ,,0424 241 11 50,elazig@gsb.gov.tr,https://elazig.gsb.gov.tr,"Üniversite Mah. Zübeyde Hanım Cad. No:135, Elazığ"
Erzincan Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Erzincan,,0446 223 69 33,erzincan@gsb.gov.tr,https://erzincan.gsb.gov.tr,Başbağlar Mahallesi 1400 Sokak No:55 ERZİNCAN
Erzurum Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Erzurum,,0442 328 02 20,erzurum@gsb.gov.tr,https://erzurum.gsb.gov.tr,Üniversite Mahallesi Lokman Hekim Sokak Dış Kapı No:1/3 Yakutiye/ERZURUM
Eskişehir Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Eskişehir,,0222 230 27 51,eskisehir@gsb.gov.tr,https://eskisehir.gsb.gov.tr,Sazova Mah. Ulubatlı Cad. No:24 26150 Tepebaşı/ESKİŞEHİR
Gaziantep Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Gaziantep,,0342 335 04 36,gaziantep@gsb.gov.tr,https://gaziantep.gsb.gov.tr,Binevler Mahallesi 81019 Sokak No:9/A Şahinbey/GAZİANTEP
Giresun Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Giresun,,0454 216 16 01,giresun@gsb.gov.tr,https://giresun.gsb.gov.tr,"Seldeğirmeni Mahallesi Saffet Beyazıtoğlu Sokak No:5, Giresun"
Gümüşhane Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Gümüşhane,,0456 213 10 58,gumushane@gsb.gov.tr,https://gumushane.gsb.gov.tr,İnönü Mahallesi Aydın Doğan Caddesi No:46 Merkez/GÜMÜŞHANE
Hakkari Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Hakkari,,0438 211 69 17,hakkari@gsb.gov.tr,https://hakkari.gsb.gov.tr,Pehlivan Mahallesi Hakkari-Van Bulvar Caddesi Hastane karşısı Spor Kompleksi HAKKARİ/MERKEZ
Hatay Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Hatay,,0326 267 38 81; 0326 267 30 83; 0326 267 32 67,hatay@gsb.gov.tr,https://hatay.gsb.gov.tr,"Derince Mahallesi, Yurt Sokak, No:26, Antakya/Hatay"
Iğdır Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Iğdır,,0476 227 79 91,igdir@gsb.gov.tr,https://igdir.gsb.gov.tr,"Karaağaç Mah. Fatih Cd. Temel Sok. No:10, Iğdır"
Isparta Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Isparta,,0246 218 14 82; 0246 218 41 60; 0246 218 49 55,isparta@gsb.gov.tr,https://isparta.gsb.gov.tr,Kepeci Mahallesi 116. Cadde No:12 Merkez/Isparta
İstanbul Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,İstanbul,,0212 588 00 35; 0212 588 00 62; 0212 588 00 71; 0212 588 00 72,istanbul@gsb.gov.tr,https://istanbul.gsb.gov.tr,Zuhuratbaba Mah. Mustafa Sarıçiçek Bulvarı 34/2 Bakırköy/İstanbul
İzmir Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,İzmir,,0232 255 91 91; 0232 255 95 37; 0232 255 91 81,izmir@gsb.gov.tr,https://izmir.gsb.gov.tr,Mersinli Mah. Şehitler Cad. 181/5 Halkapınar Konak/İzmir
Kahramanmaraş Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kahramanmaraş,,0344 235 17 03; 0344 235 17 04,kahramanmaras@gsb.gov.tr,https://kahramanmaras.gsb.gov.tr,Avşar Mahallesi Batı Çevre Yolu Bulvarı No:247 46040 Onikişubat/Kahramanmaraş
Karabük Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Karabük,,0370 412 56 79,karabuk@gsb.gov.tr,https://karabuk.gsb.gov.tr,Yenişehir Mahallesi Nilüfer Sokak No:3 Merkez/Karabük
Karaman Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Karaman,,0338 213 16 61; 0338 212 26 20,karaman@gsb.gov.tr,https://karaman.gsb.gov.tr,Kazım Karabekir Paşa Mah. Şehit İsa Kahraman Cd. No:5 Merkez/Karaman
Kars Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kars,,0474 223 10 02,kars@gsb.gov.tr,https://kars.gsb.gov.tr,"Cumhuriyet Mahallesi Borsa Sokak Dış Kapı:1 A Kat:3, Kars"
Kastamonu Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kastamonu,,0366 214 65 80-81,kastamonu@gsb.gov.tr,https://kastamonu.gsb.gov.tr,Kuzeykent Mahallesi Orgeneral Atilla Ateş Caddesi No:40/C Kastamonu
Kayseri Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kayseri,,0352 332 44 30,kayseri@gsb.gov.tr,https://kayseri.gsb.gov.tr,Esentepe Mah. Ahmet Gazi Ayhan Bulvarı No:201 38060 Melikgazi/Kayseri
Kırıkkale Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kırıkkale,,+90 318 310 01 15-16,kirikkale@gsb.gov.tr,https://kirikkale.gsb.gov.tr,Yenişehir Mh. Yurtkur Cd. No:30 Yahşihan/Kırıkkale
Kırklareli Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kırklareli,,0288 214 12 81,kirklareli@gsb.gov.tr,https://kirklareli.gsb.gov.tr,Karakaş Mah. İstasyon Cad. 39100 Kırklareli
Kırşehir Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kırşehir,,0386 213 20 57,kirsehir@gsb.gov.tr,https://kirsehir.gsb.gov.tr,Bağbaşı Mah. Yurtlar Cad. No:5/A Kırşehir
Kilis Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kilis,,0348 813 11 20,kilis@gsb.gov.tr,https://kilis.gsb.gov.tr,Doğan Güreş Paşa Mahallesi Safter Necioğlu Bulvarı No:43/D Kilis
Kocaeli Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kocaeli,,0262 229 91 74,kocaeli@gsb.gov.tr,https://kocaeli.gsb.gov.tr,"42 Evler Körfez Mahallesi, Salim Dervişoğlu Caddesi, Hasan Gemici Spor Salonu Yanı No:98 İzmit/Kocaeli"
Konya Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Konya,,0332 353 66 90,konya@gsb.gov.tr,https://konya.gsb.gov.tr,Şemsi Tebrizi Mahallesi Sultan Veled Caddesi No:43/A Karatay/Konya
Kütahya Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Kütahya,,0274 223 60 83,kutahya@gsb.gov.tr,https://kutahya.gsb.gov.tr,Ali Paşa Mahallesi Abdurrahman Karaa Bulvarı No:6 43020 Kütahya
Malatya Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Malatya,,0422 323 79 61,malatya@gsb.gov.tr,https://malatya.gsb.gov.tr,Özalper Mahallesi Alparslan Türkeş Bulvarı No:3/3 Yeşilyurt / MALATYA
Manisa Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Manisa,,0236 231 11 91,manisa@gsb.gov.tr,https://manisa.gsb.gov.tr,Ahmet Bedevi Mah. M.Halil Erdoğan Cad. Akhisar Yolu Üzeri Şehzadeler / MANİSA
Mardin Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Mardin,,0482 212 17 72,mardin@gsb.gov.tr,https://mardin.gsb.gov.tr,Cumhuriyet Mah. Stadyum Cad. Stadyum Sokak No:1 Artuklu / MARDİN
Mersin Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Mersin,,0324 325 33 36,mersin@gsb.gov.tr,https://mersin.gsb.gov.tr,Piri Reis Mahallesi GMK Bulvarı Edip Buran Spor Salonu Yanı 277/A Yenişehir / MERSİN
Muğla Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Muğla,,0252 214 12 38,mugla@gsb.gov.tr,https://mugla.gsb.gov.tr,Kötekli Mah. Marmaris Yolu Üzeri 1. Kısım No:54 Menteşe / MUĞLA
Muş Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Muş,,0436 216 11 41,mus@gsb.gov.tr,https://mus.gsb.gov.tr,İstasyon Caddesi Zafer Mahallesi Gençlik ve Spor İl Müdürlüğü Merkez / MUŞ
Nevşehir Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Nevşehir,,0384 212 19 16,nevsehir@gsb.gov.tr,https://nevsehir.gsb.gov.tr,Yeni Mahalle Sahil Sokak No:4 NEVŞEHİR
Niğde Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Niğde,,0388 232 34 21,nigde@gsb.gov.tr,https://nigde.gsb.gov.tr,Aşağı Kayabaşı Mahallesi Seçkin Sokak No:5 NİĞDE
Ordu Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Ordu,,0452 223 16 35,ordu@gsb.gov.tr,https://ordu.gsb.gov.tr,Karşıyaka Mahallesi Atatürk Bulvarı No:336/A Altınordu / ORDU
Osmaniye Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Osmaniye,,0328 814 54 88,osmaniye@gsb.gov.tr,https://osmaniye.gsb.gov.tr,"Fakıuşağı Mahallesi, 450001 Sokak No:3 Merkez/Osmaniye"
Rize Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Rize,,0464 213 04 81,rize@gsb.gov.tr,https://rize.gsb.gov.tr,Müftü Mahallesi Stadyum Sokak No:36 Merkez/Rize
Sakarya Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Sakarya,,0264 211 12 36,sakarya@gsb.gov.tr,https://sakarya.gsb.gov.tr,İstiklal Mahallesi Safrancık Sokak No:8/A Serdivan/Sakarya
Samsun Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Samsun,,0362 437 47 00,samsun@gsb.gov.tr,https://samsun.gsb.gov.tr,Esenevler Mahallesi Atatürk Bulvarı No:123 55200 Atakum/Samsun
Siirt Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Siirt,,0484 223 82 84,siirt@gsb.gov.tr,https://siirt.gsb.gov.tr,Bahçelievler Mahallesi Cemil Ertekin Caddesi No:42 Merkez/Siirt
Sinop Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Sinop,,0368 260 52 10,sinop@gsb.gov.tr,https://sinop.gsb.gov.tr,Gelincik Mahallesi Fatih Caddesi Yeni Sokak No:11 Merkez/Sinop
Sivas Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Sivas,,0346 223 59 31,sivas@gsb.gov.tr,https://sivas.gsb.gov.tr,Demircilerardı Mahallesi Sait Paşa Caddesi No:34 Merkez/Sivas
Şanlıurfa Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Şanlıurfa,,0414 313 24 71,sanliurfa@gsb.gov.tr,https://sanliurfa.gsb.gov.tr,Sancaktar Mahallesi Mevlana Caddesi 11 Nisan Spor Kompleksi İl Müdürlüğü Binası Şanlıurfa
Şırnak Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Şırnak,,0486 216 41 03,sirnak@gsb.gov.tr,https://sirnak.gsb.gov.tr,Gündoğdu Mahallesi Stad Caddesi Şırnak Gençlik ve Spor İl Müdürlüğü Merkez/Şırnak
Tekirdağ Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Tekirdağ,,0282 261 2032,tekirdag@gsb.gov.tr,https://tekirdag.gsb.gov.tr,"Namık Kemal Mahallesi, Prof. Dr. Cemil Cangir Caddesi, Süleymanpaşa/Tekirdağ"
Tokat Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Tokat,,0356 214 3309,tokat@gsb.gov.tr,https://tokat.gsb.gov.tr,"Yeni Mahalle, GOP Bulvarı No:3, Merkez/Tokat"
Trabzon Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Trabzon,,0462 230 2256,trabzon@gsb.gov.tr,https://trabzon.gsb.gov.tr,"Akyazı Mahallesi, Özkan Sümer Caddesi, Şenol Güneş Spor Kompleksi No:4, Ortahisar/Trabzon"
Tunceli Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Tunceli,,0428 212 5060,tunceli@gsb.gov.tr,https://tunceli.gsb.gov.tr,"Moğultay Mahallesi, Behice Boran Caddesi No:18, Merkez/Tunceli"
Uşak Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Uşak,,0276 231 2515,usak@gsb.gov.tr,https://usak.gsb.gov.tr,"Fevzi Çakmak Mahallesi, Gençlik Caddesi No:23, Merkez/Uşak"
Van Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Van,,0432 217 7030,van@gsb.gov.tr,https://van.gsb.gov.tr,"Abdurrahman Gazi Mahallesi, İskele Caddesi No:230, Tuşba/Van"
Yalova Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Yalova,,0226 814 2094,yalova@gsb.gov.tr,https://yalova.gsb.gov.tr,"Çınarcık Yolu, Merkez Kampüs Karşısı No:93/1, Merkez/Yalova"
Yozgat Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Yozgat,,,yozgat@gsb.gov.tr,https://yozgat.gsb.gov.tr,"Fatih Mahallesi, Rıza Kayaalp Caddesi No:1, Merkez/Yozgat"
Zonguldak Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Zonguldak,,0372 251 2613,zonguldak@gsb.gov.tr,https://zonguldak.gsb.gov.tr,"Yayla Mahallesi, Fener Caddesi, 67100 Zonguldak"
